abandon,v. 遺棄
communicate,v.溝通
communication,n.溝通；訊息
communicative,adj.愛說話的
communist,n./adj./n.共產主義的；共產主義者
community,n.社區；共同體
commute,v.通勤
commuter,n通勤者
compact,adj.緊密的
companion,n.夥伴；伴侶
companionship,n.交誼
company,n.公司；同伴
comparative,adj.相比而言的
comparatively,adv.比較地
compare,v.比較
comparison,n.比較；對照
compartment,n.分隔間
compass,n.指南針；圓規
compassionate,adj.有同情心的
compatible,adj.相容的
compatibly,adv.和諧地
compensate,v.賠償
compensation,n.補償
compete,v.競爭；比賽
competence,n.能力
competition,n.競賽；競爭
competitive,adj.競爭的
competitor,n.競爭者
compile,v.編纂
complain,v.抱怨
complaint,n.抱怨
complement,n.補足物
complete,adj./v.完全的；完成
complex,adj./n.複雜的；情結
complexion,n.氣色
complexity,n.錯綜複雜的事物
complicate,v.使複雜化
complicated,adj.複雜的
complication,n.糾葛
compliment,n./v.讚美；祝賀
comply,v.依從
component,n.零件；成分
compose,v.作曲；組成
composer,n.作曲家；調停者
composite,adj.混合成的
composition,n.作文；合成物
comprehend,v.理解
comprehensible,adj.可以理解的
comprehension,n.理解(力)
comprehensive,adj.廣泛的
compress,v.壓縮
compromise,v.妥協(方案)
compulsively,adv.強制性地
compute,v.估算；推算
computer,n.電腦
computerize,v.使電腦化
comrade,n.同伴
conceal,v.隱藏
concede,v.讓與
conceive,v.認為；構想
conceited,adj.自大的
conceitedly,adv.自負地
concentrate,v.專心
concentration,n專心；集中
concern,n./v.關心；涉及
concert,n.演奏會；音樂會
concession,n.讓步
concise,adj.簡潔的
conclude,v.結束；斷定
conclusion,n.結論；推論
concrete,adj./n.具體的；混凝土
condense,v.使凝結(濃縮)
